Unnamed: 0,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
480,29.4,34.4,26.4,999.9,86.0,1.8,2.2,14.8,31.33333333333333
771,26.8,33.0,19.0,1008.8,61.0,2.3,3.5,11.1,123.70833333333331
450,36.3,42.9,27.7,998.7,38.0,2.6,6.3,22.2,63.0
163,17.0,26.6,10.0,1016.5,70.0,1.1,0.9,7.6,221.54166666666663
454,30.8,34.9,25.5,999.4,66.0,1.9,3.1,9.4,77.75
345,24.2,31.6,17.2,1015.3,62.0,1.1,4.3,11.1,282.1666666666667
105,30.4,35.1,24.8,995.2,77.0,1.9,5.2,14.8,38.25
974,34.7,41.5,22.0,1001.7,24.0,2.3,8.5,16.5,142.5
871,30.0,36.0,22.5,1004.9,63.0,2.6,3.0,7.6,50.91666666666666
949,24.3,31.0,16.8,1010.8,66.0,3.4,6.9,14.8,59.20833333333334
644,28.4,36.6,24.4,998.1,82.0,2.4,5.2,9.4,29.66666666666667
821,35.5,39.9,31.2,999.7,60.0,2.4,9.8,18.3,40.375
953,27.1,33.0,19.0,1009.9,61.0,2.6,2.8,13.0,64.79166666666667
800,36.5,43.0,27.0,1001.8,35.0,2.6,4.1,22.2,128.125
801,37.3,42.4,27.4,1002.4,32.0,2.6,4.8,14.8,108.0
658,29.2,31.0,26.0,1000.0,85.0,1.8,4.6,13.0,41.375
659,29.1,32.6,26.4,998.6,85.0,1.8,5.9,13.0,25.54166666666667
537,17.6,24.6,11.2,1016.1,75.0,0.8,7.0,18.3,236.41666666666663
311,28.5,33.2,26.0,1001.3,82.0,1.9,15.0,25.9,24.29166666666667
485,31.6,35.6,25.8,1002.7,67.0,2.9,13.0,22.2,12.25
597,30.4,37.5,21.6,1006.3,41.0,2.6,12.0,27.8,15.166666666666664
497,31.0,36.7,26.4,1005.7,54.0,2.6,10.2,31.7,38.708333333333336
494,31.4,36.5,27.6,1005.5,56.0,1.9,11.7,25.9,60.125
67,30.9,37.6,23.2,1003.7,44.0,1.9,3.5,11.1,101.5
323,30.7,36.3,25.4,1009.2,54.0,3.1,8.9,16.5,43.33333333333334
1014,32.4,35.2,26.2,999.0,72.0,2.9,13.5,25.9,36.0
827,33.6,36.7,28.8,996.7,66.0,5.8,5.9,11.1,43.66666666666666
891,20.8,29.0,10.5,1013.9,61.0,1.8,2.6,7.6,194.7083333333333
652,32.4,35.2,26.2,999.0,72.0,2.9,13.5,25.9,36.0
522,23.4,31.8,17.3,1015.8,75.0,1.6,0.4,3.5,185.0833333333333
91,31.2,37.1,27.6,996.8,71.0,1.9,8.1,20.6,49.41666666666666
678,31.3,35.0,26.0,1004.6,63.0,3.2,11.5,18.3,0.0
961,33.4,39.1,24.8,1008.0,47.0,2.1,2.6,7.6,25.75
431,30.2,37.6,23.6,1006.3,47.0,2.6,4.4,11.1,56.25
923,12.0,17.0,6.7,1019.8,75.0,1.3,7.6,13.0,125.89166666666668
902,18.2,27.0,7.7,1013.7,72.0,0.6,1.1,7.6,237.625
806,34.6,39.0,26.0,998.4,49.0,2.4,6.7,16.5,95.83333333333331
596,29.9,37.0,19.5,1008.3,39.0,2.7,4.4,9.4,23.20833333333333
932,17.1,23.2,9.0,1017.1,69.0,1.8,5.9,11.1,93.375
270,33.9,40.6,28.0,997.0,59.0,2.1,8.1,25.9,80.54166666666667
602,30.9,37.0,19.0,1008.9,33.0,2.6,6.9,14.8,20.791666666666668
390,17.2,25.5,9.3,1012.8,61.0,2.4,6.7,20.6,120.20833333333331
384,15.1,24.0,6.7,1017.6,66.0,1.3,5.0,11.1,224.79166666666663
762,25.0,31.0,15.0,1015.7,59.0,1.9,1.7,5.4,1.9166666666666667
319,31.0,36.3,26.0,1002.8,61.0,2.3,4.4,11.1,56.91666666666666
223,21.4,29.7,12.6,1016.4,65.0,1.4,2.8,9.4,116.625
661,32.6,36.0,26.2,997.8,66.0,3.4,5.6,9.4,40.333333333333336
999,35.6,40.0,30.0,1000.7,57.0,3.1,9.4,25.9,90.70833333333331
57,28.0,38.6,23.8,1007.3,48.0,2.3,15.6,25.9,0.0
1080,19.3,27.0,11.7,1019.6,57.0,1.8,5.2,11.1,195.375
250,32.2,39.5,25.2,1002.1,45.0,1.6,9.3,16.5,198.875
204,13.8,26.4,9.6,1011.3,88.0,1.0,8.1,14.8,143.91666666666666
464,28.3,33.6,23.3,998.4,87.0,1.9,1.7,7.6,42.29166666666666
601,29.3,36.0,18.8,1008.8,37.0,3.2,4.8,11.1,117.75
71,36.2,44.6,29.2,999.1,32.0,1.9,10.6,18.3,98.41666666666669
290,32.5,37.5,27.6,1001.9,67.0,1.9,7.2,18.3,47.375
872,28.6,35.0,19.8,1008.2,49.0,3.7,11.5,22.2,82.83333333333333
901,15.8,24.3,8.7,1015.8,77.0,0.8,1.7,7.6,312.2083333333333
1049,32.4,36.4,27.5,1007.8,65.0,3.1,3.5,11.1,29.0
996,36.0,41.0,27.6,997.7,46.0,2.4,12.8,25.9,77.0
24,16.4,22.0,11.2,1015.5,81.0,1.6,5.9,18.3,56.45833333333334
251,30.7,39.5,21.4,1000.5,43.0,1.6,6.5,14.8,120.70833333333331
1015,34.1,37.0,28.5,998.5,63.0,3.2,13.0,22.2,70.58333333333333
867,31.9,36.0,26.5,1007.2,66.0,2.3,2.4,7.6,26.66666666666667
444,33.8,45.0,24.8,1001.3,26.0,2.6,6.7,18.3,63.66666666666666
453,27.0,39.7,20.5,1000.2,82.0,1.9,3.9,13.0,54.95833333333334
559,12.3,19.0,8.9,1015.8,91.0,0.5,4.6,9.4,108.0
542,14.6,21.3,6.0,1017.1,59.0,2.6,8.1,14.8,161.375
1070,20.8,29.3,12.1,1016.7,58.0,1.8,3.5,9.4,210.54166666666663
971,33.4,40.0,21.2,1006.3,27.0,2.6,3.7,14.8,0.0
38,23.0,30.0,14.4,1016.1,55.0,2.7,6.7,14.8,77.20833333333333
283,33.3,42.3,29.2,997.8,69.0,1.9,5.2,9.4,153.41666666666666
881,23.7,31.7,15.5,1017.7,69.0,1.0,1.3,5.4,99.70833333333331
447,31.6,39.9,22.2,1003.4,46.0,1.9,8.5,20.6,20.75
176,15.4,24.9,8.2,1012.8,82.0,1.0,0.7,3.5,202.875
249,31.8,38.6,24.2,1004.3,54.0,1.9,1.9,7.6,108.33333333333331
147,26.6,32.6,21.1,1008.8,76.0,1.6,3.3,11.1,95.25
88,35.6,41.0,27.3,995.5,49.0,1.9,7.4,18.3,97.29166666666669
654,34.1,37.2,29.0,998.4,61.0,2.6,11.5,22.2,52.45833333333334
615,33.2,38.0,25.0,1004.6,41.0,2.7,4.6,9.4,158.29166666666666
942,22.7,30.6,13.0,1018.4,58.0,2.4,3.3,7.6,62.70833333333334
951,24.1,29.2,14.5,1014.4,59.0,2.4,8.5,18.3,87.83333333333331
391,19.3,28.6,10.6,1009.5,65.0,2.6,4.3,14.8,137.125
1012,30.4,35.4,26.7,997.8,82.0,2.1,5.2,14.8,41.458333333333336
989,32.7,37.5,24.7,1002.3,55.0,2.4,7.4,18.3,38.66666666666666
519,24.7,33.3,18.5,1014.0,61.0,2.3,3.5,7.6,107.33333333333331
331,24.4,33.6,21.4,1011.0,75.0,1.9,5.4,14.8,11.583333333333336
817,34.7,38.0,30.5,995.4,55.0,2.4,10.4,18.3,40.833333333333336
297,30.9,35.0,27.6,998.4,73.0,1.9,5.9,14.8,30.66666666666667
121,32.1,36.7,26.8,998.1,74.0,1.9,6.5,14.8,64.91666666666667
624,32.9,39.0,27.4,996.6,50.0,2.4,9.4,27.8,110.41666666666669
489,31.9,36.2,28.0,1001.1,68.0,2.6,4.8,14.8,29.20833333333333
852,31.0,35.0,26.8,1004.1,76.0,2.6,6.1,14.8,64.91666666666667
779,32.3,39.0,21.5,1007.3,39.0,3.4,5.4,13.0,21.25
760,22.7,30.4,12.8,1017.7,56.0,2.6,2.4,7.6,79.83333333333333
231,24.9,33.2,16.8,1006.2,49.0,2.6,9.6,25.9,101.79166666666669
893,21.4,30.6,10.8,1011.9,54.0,2.6,7.8,18.3,274.875
742,12.0,17.0,6.7,1019.8,75.0,1.3,7.6,13.0,125.89166666666668
709,20.7,28.8,10.6,1017.8,56.0,1.8,6.1,16.5,251.2083333333333
642,34.4,39.4,26.0,998.3,63.0,2.3,8.0,14.8,43.66666666666666
962,29.5,36.9,21.5,1007.2,41.0,2.3,11.3,16.5,105.33333333333331
29,20.4,28.4,15.2,1014.7,62.0,2.4,5.0,14.8,62.70833333333334
719,17.8,24.8,11.2,1017.0,74.0,0.6,0.7,7.6,365.29166666666674
955,29.8,36.2,18.2,1012.7,52.0,2.4,3.3,7.6,52.04166666666666
208,12.6,17.7,9.2,1012.6,91.0,0.6,3.9,7.6,143.0
734,18.3,24.7,11.5,1018.1,85.0,0.5,1.1,7.6,154.03750000000005
312,30.9,34.7,25.7,1003.5,73.0,1.9,1.3,5.4,74.66666666666667
511,29.6,35.5,25.0,1011.0,69.0,1.9,3.7,9.4,81.625
743,11.7,18.0,6.4,1017.3,76.0,0.8,4.4,13.0,181.01250000000005
313,31.2,36.0,26.4,1003.3,72.0,1.9,3.5,13.0,41.875
655,31.9,35.0,28.3,1001.3,72.0,2.1,2.8,9.4,38.25
527,22.3,29.3,16.1,1014.9,64.0,0.8,5.4,18.3,353.04166666666674
308,27.5,34.8,25.0,1001.0,89.0,1.9,4.3,16.5,49.29166666666666
896,21.4,29.6,12.7,1013.7,40.0,2.6,8.0,20.6,184.2083333333333
363,11.3,17.5,7.2,1018.8,81.0,0.8,5.7,13.0,188.04166666666663
268,30.3,41.1,22.7,997.7,62.0,2.6,16.7,29.4,48.83333333333334
242,28.1,35.8,18.6,1010.0,40.0,1.9,8.7,16.5,87.875
1063,23.4,31.1,14.2,1016.0,60.0,1.1,3.0,7.6,217.375
580,22.7,30.6,13.0,1018.4,58.0,2.4,3.3,7.6,62.70833333333334
622,37.3,42.8,31.2,996.2,49.0,2.6,8.3,14.8,94.375
103,29.1,33.8,23.9,996.3,86.0,1.4,2.6,55.4,70.58333333333333
1046,30.7,34.8,25.6,1004.5,66.0,2.6,3.3,11.1,41.5
524,21.9,30.2,16.1,1014.8,79.0,0.5,1.1,7.6,365.75
998,34.7,38.0,30.5,995.4,55.0,2.4,10.4,18.3,40.833333333333336
963,29.3,36.0,18.8,1008.8,37.0,3.2,4.8,11.1,117.75
1061,25.4,33.4,16.5,1014.3,62.0,1.6,5.0,14.8,226.29166666666663
383,13.8,21.5,7.2,1018.0,60.0,2.4,9.1,24.1,151.875
534,18.4,29.1,13.5,1011.4,71.0,1.3,2.6,7.6,200.5
441,35.8,42.6,27.0,1000.4,30.0,2.6,11.3,24.1,68.91666666666667
797,35.1,39.2,25.3,1005.1,40.0,2.4,7.2,11.1,149.58333333333334
650,30.4,35.4,26.7,997.8,82.0,2.1,5.2,14.8,41.458333333333336
406,21.6,27.3,15.8,1015.3,71.0,2.6,7.8,20.6,56.33333333333334
148,25.6,33.2,19.5,1011.5,67.0,1.4,3.7,14.8,126.16666666666669
759,22.6,30.3,11.5,1015.4,57.0,2.4,5.4,11.1,69.66666666666667
127,30.9,35.6,25.0,1004.8,58.0,2.3,6.9,14.8,0.0
523,23.9,31.8,18.6,1014.2,73.0,1.8,0.4,1.9,249.5
1066,23.2,30.2,14.0,1012.6,55.0,1.1,7.4,18.3,278.0
259,30.0,36.4,21.4,1007.2,60.0,2.6,4.1,14.8,48.125
490,32.4,36.9,28.1,1001.9,68.0,2.7,5.4,11.1,36.5
664,31.2,36.7,28.0,997.8,75.0,2.7,9.1,14.8,36.79166666666666
1052,30.0,36.0,22.5,1004.9,63.0,2.6,3.0,7.6,50.91666666666666
836,31.9,35.0,28.3,1001.3,72.0,2.1,2.8,9.4,38.25
583,26.8,33.4,15.7,1014.5,52.0,2.4,4.6,9.4,1.7916666666666667
241,26.8,33.6,19.2,1010.5,53.0,1.6,4.6,11.1,137.875
68,32.9,39.8,24.7,1001.0,38.0,1.9,5.6,13.0,106.5
862,31.7,37.1,26.0,1003.2,63.0,2.9,1.7,5.4,62.375
1047,31.4,35.2,26.0,1005.8,62.0,3.1,2.0,7.6,48.91666666666666
